"id","projectName","startCommit","endCommit","transformType","transformTypeId","transformSum","RelatedMethodsNum","RelatedMethodSet","RelatedCasesNum"
"55","symja-parser","d5373b1966134902fe464631fe57e882e8fbba11","d7b6e8a205c276c2884bc8183077f963679f5d7b","SWITCH_EQUAL_SIDES","14","1","1","[ASTNode equals (Object)]","9"
"64","symja-parser","d7b6e8a205c276c2884bc8183077f963679f5d7b","1bfaf8c4cc811b8bce08b39133dbda7b62d94c7c","LOCAL_VAR_RENAMING","0","1","2","[ASTNode isFree (ASTNode), ASTNode equals (Object)]","18"
"65","symja-parser","1bfaf8c4cc811b8bce08b39133dbda7b62d94c7c","45f1421ef05c8fda5cf6d79ad809cdc99032fae8","SWITCH_STRING_EQUAL","15","1","1","[ASTNode equals (Object)]","9"
"0","scribejava/scribejava-apis","8970e8eeb0aff840d0b223890e9c392ee19218f7","8b5cf3cc840f0154a60824f371cda62b9f3ea9fb","CASE_TO_IF_ELSE","17","1","20","[TutByApi TutByApi (), InstanceHolder generateError (Response), FacebookAccessTokenErrorResponse getCodeInt (), InstagramAccessTokenJsonExtractor InstagramAccessTokenJsonExtractor (), InstanceHolder createToken (String, String, Integer, String, String, JsonNode, String), OpenIdJsonTokenExtractor OpenIdJsonTokenExtractor (), FacebookAccessTokenErrorResponse equals (Object), InstanceHolder instance (), FacebookAccessTokenErrorResponse toString (), InstanceHolder getAuthorizationBaseUrl (), FacebookAccessTokenErrorResponse getErrorMessage (), FacebookAccessTokenErrorResponse getType (), FacebookAccessTokenErrorResponse FacebookAccessTokenErrorResponse (String, String, int, String, Response), FacebookAccessTokenErrorResponse getFbtraceId (), FacebookAccessTokenErrorResponse hashCode (), AutomaticAPI AutomaticAPI (), InstanceHolder getAccessTokenEndpoint (), InstanceHolder getClientAuthentication (), InstanceHolder getRefreshTokenEndpoint (), InstanceHolder getBearerSignature ()]","100"
"6","scribejava/scribejava-apis","8b5cf3cc840f0154a60824f371cda62b9f3ea9fb","49e02fdd46dc68fe2b7ac4f22b0bfb9b78fd0a08","LOCAL_VAR_RENAMING","0","1","6","[InstanceHolder getAccessTokenExtractor (), InstanceHolder instance (), InstanceHolder getAccessTokenEndpoint (), InstanceHolder getBearerSignature (), InstanceHolder getAuthorizationBaseUrl (), StackExchangeApi StackExchangeApi ()]","36"
"36","scribejava/scribejava-apis","49e02fdd46dc68fe2b7ac4f22b0bfb9b78fd0a08","6fccacbacbc02809e25b10d0d236fa37d13a209e","LOCAL_VAR_RENAMING","0","1","1","[InstanceHolder instance ()]","6"
"41","scribejava/scribejava-apis","6fccacbacbc02809e25b10d0d236fa37d13a209e","b6e880cf50d6c1f450026a71465ca5eb13ad5cf8","LOCAL_VAR_RENAMING","0","1","2","[InstanceHolder createToken (String, String, Integer, String, String, JsonNode, String), InstanceHolder instance ()]","12"
"57","scribejava/scribejava-apis","b6e880cf50d6c1f450026a71465ca5eb13ad5cf8","7b65118d248d5c8c3258093dff9de034783e9fba","LOCAL_VAR_RENAMING","0","1","1","[InstanceHolder instance ()]","6"
"58","scribejava/scribejava-apis","7b65118d248d5c8c3258093dff9de034783e9fba","c0df60e8de69cdf05c4e8e13fb7261cd75c5cba0","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","3","[ImgurOAuthService signRequest (String, OAuthRequest), ImgurOAuthService ImgurOAuthService (ImgurApi, String, String, String, String, String, OutputStream, String, HttpClientConfig, HttpClient), ImgurOAuthService createAccessTokenRequest (AccessTokenRequestParams)]","21"
"60","scribejava/scribejava-apis","c0df60e8de69cdf05c4e8e13fb7261cd75c5cba0","cab055c5f163decc67edff4e62c2680efec89bc2","SWITCH_EQUAL_SIDES","14","1","1","[InstanceHolder createToken (String, String, Integer, String, String, JsonNode, String)]","7"
"61","scribejava/scribejava-apis","cab055c5f163decc67edff4e62c2680efec89bc2","07feffff6a44f49be3a43ce5a568adb8efa61e5f","LOCAL_VAR_RENAMING","0","1","1","[InstanceHolder createToken (String, String, Integer, String, String, JsonNode, String)]","7"
"0","scribejava/scribejava-core","07feffff6a44f49be3a43ce5a568adb8efa61e5f","ffd49363c6fde9c935a3016d98d0d52949e56cee","ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT","7","1","123","[OAuth20Service createAccessTokenDeviceAuthorizationGrantRequest (DeviceAuthorization), ScopeBuilder withScopes (String), JDKHttpClient addHeaders (HttpURLConnection, Map<String,String>, String), OAuth20Service getDeviceAuthorizationCodesAsync (), MultipartPayload parseOrGenerateBoundary (Map<String,String>), Response close (), OAuth20Service createAccessTokenRequest (AccessTokenRequestParams), OAuth20Service getAccessTokenClientCredentialsGrant (String, OAuthAsyncRequestCallback<OAuth2AccessToken>), OAuth20Service getAccessTokenClientCredentialsGrantAsync (String), OAuth20Service getVersion (), MultipartPayload addBodyPart (BodyPartPayload), OAuth20Service createAccessTokenPasswordGrantRequest (String, String, String), OAuth20Service logRequestWithParams (String, OAuthRequest), OAuth20Service revokeToken (String, TokenTypeHint), OAuth20Service OAuth20Service (DefaultApi20, String, String, String, String, String, OutputStream, String, HttpClientConfig, HttpClient), OAuth20Service getAccessTokenPasswordGrantAsync (String, String), OAuth20Service getDefaultScope (), OAuth20Service getAccessTokenPasswordGrant (String, String), JDKHttpClient executeAsync (String, Map<String,String>, Verb, String, File, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), OAuth20Service getApi (), OAuth20Service refreshAccessTokenAsync (String), OAuth20Service refreshAccessTokenAsync (String, String), OAuth20Service getAccessTokenPasswordGrantAsync (String, String, String), OAuth20Service refreshAccessToken (String), OAuth20Service getAccessTokenDeviceAuthorizationGrant (DeviceAuthorization, OAuthAsyncRequestCallback<OAuth2AccessToken>), OAuth20Service getDeviceAuthorizationCodes (OAuthAsyncRequestCallback<DeviceAuthorization>), OAuth20Service revokeTokenAsync (String, TokenTypeHint), Response Response (int, String, Map<String,String>, InputStream, Closeable), OAuth20Service getAccessTokenPasswordGrantAsync (String, String, String, OAuthAsyncRequestCallback<OAuth2AccessToken>), OAuth20Service revokeTokenAsync (String), JDKHttpClient executeAsync (String, Map<String,String>, Verb, String, MultipartPayload, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), MultipartPayload composeHeaders (String, String, Map<String,String>), OAuth20Service getAuthorizationUrl (Map<String,String>), Response parseBodyContents (), MultipartPayload MultipartPayload (String), StreamUtils getStreamContents (InputStream), JDKHttpClient doExecuteAsync (String, Map<String,String>, Verb, String, BodyType, Object, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), OAuth20Service getAccessTokenAsync (AccessTokenRequestParams), Response getBody (), MultipartPayload getPreamble (), ScopeBuilder ScopeBuilder (), OAuth20Service extractAuthorization (String), Response toString (), StreamUtils getGzipStreamContents (InputStream), OAuth20Service getAccessTokenClientCredentialsGrantAsync (), ScopeBuilder withScopes (Collection<String>), OAuth20Service getAccessToken (AccessTokenRequestParams), OAuth20Service getAccessTokenAsync (String), OAuth20Service refreshAccessToken (String, String), OAuth20Service createDeviceAuthorizationCodesRequest (String), MultipartPayload getBoundary (), OAuth20Service checkForErrorRevokeToken (Response), MultipartPayload MultipartPayload (String, Map<String,String>), OAuth20Service getAccessTokenDeviceAuthorizationGrantAsync (DeviceAuthorization), MultipartPayload MultipartPayload (String, String, Map<String,String>), MultipartPayload MultipartPayload (String, String), ScopeBuilder ScopeBuilder (String), ScopeBuilder build (), JDKHttpClient addBody (HttpURLConnection, MultipartPayload, boolean), ScopeBuilder withScope (String), JDKHttpClient parseHeaders (HttpURLConnection), OAuth20Service getAuthorizationUrl (PKCE), Response Response (int, String, Map<String,String>, String), OAuth20Service sendAccessTokenRequestAsync (OAuthRequest, OAuthAsyncRequestCallback<OAuth2AccessToken>), OAuth20Service getAccessToken (AccessTokenRequestParams, OAuthAsyncRequestCallback<OAuth2AccessToken>), MultipartPayload MultipartPayload (), OAuth20Service convert (Response), OAuth20Service createAccessTokenClientCredentialsGrantRequest (String), OAuth20Service getAccessToken (String, OAuthAsyncRequestCallback<OAuth2AccessToken>), JDKHttpClient execute (String, Map<String,String>, Verb, String, byte[]), JDKHttpClient execute (String, Map<String,String>, Verb, String, File), OAuth20Service getAccessToken (String), JDKHttpClient executeAsync (String, Map<String,String>, Verb, String, byte[], OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), OAuth20Service getDeviceAuthorizationCodesAsync (String), MultipartPayload setPreamble (String), OAuth20Service getAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), JDKHttpClient executeAsync (String, Map<String,String>, Verb, String, String, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), OAuth20Service getAuthorizationUrl (), OAuth20Service sendAccessTokenRequestSync (OAuthRequest), MultipartPayload getBodyParts (), OAuth20Service createRefreshTokenRequest (String, String), OAuth20Service revokeToken (String, OAuthAsyncRequestCallback<Void>), JDKHttpClient setBody (HttpURLConnection, Object, boolean), OAuth20Service refreshAccessToken (String, OAuthAsyncRequestCallback<OAuth2AccessToken>), JDKHttpClient JDKHttpClient (JDKHttpClientConfig), OAuth20Service createAuthorizationUrlBuilder (), JDKHttpClient close (), Response getHeader (String), OAuth20Service getAccessTokenPasswordGrant (String, String, String), OAuth20Service getAccessTokenClientCredentialsGrant (OAuthAsyncRequestCallback<OAuth2AccessToken>), OAuth20Service sendAccessTokenRequestAsync (OAuthRequest), OAuth20Service revokeToken (String, OAuthAsyncRequestCallback<Void>, TokenTypeHint), OAuth20Service getAccessTokenPasswordGrantAsync (String, String, OAuthAsyncRequestCallback<OAuth2AccessToken>), JDKHttpClient JDKHttpClient (), Response getMessage (), MultipartPayload setEpilogue (String), OAuth20Service revokeToken (String), OAuth20Service getDeviceAuthorizationCodes (), OAuth20Service getResponseType (), ScopeBuilder ScopeBuilder (Collection<String>), Response Response (int, String, Map<String,String>), OAuth20Service getAccessTokenClientCredentialsGrant (), Response getStream (), JDKHttpClient execute (String, Map<String,String>, Verb, String, String), Response getCode (), OAuth20Service getDeviceAuthorizationCodes (String), Response isSuccessful (), JDKHttpClient addBody (HttpURLConnection, byte[], boolean), JDKHttpClient prepareConnectionForBodyAndGetOutputStream (HttpURLConnection, int), OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service getDeviceAuthorizationCodes (String, OAuthAsyncRequestCallback<DeviceAuthorization>), OAuth20Service createRevokeTokenRequest (String, TokenTypeHint), OAuth20Service getAuthorizationUrl (String), MultipartPayload addBodyPart (MultipartPayload), OAuth20Service signRequest (String, OAuthRequest), OAuth20Service getAccessTokenClientCredentialsGrant (String), MultipartPayload MultipartPayload (Map<String,String>), MultipartPayload getEpilogue (), Response getHeaders (), OAuth20Service signRequest (OAuth2AccessToken, OAuthRequest), JDKHttpClient doExecute (String, Map<String,String>, Verb, String, BodyType, Object), OAuth20Service refreshAccessToken (String, String, OAuthAsyncRequestCallback<OAuth2AccessToken>), JDKHttpClient execute (String, Map<String,String>, Verb, String, MultipartPayload)]","738"
"2","scribejava/scribejava-core","ffd49363c6fde9c935a3016d98d0d52949e56cee","01018e7fd07a2b0f4ca74f13faf3c97cc75d545f","INFIX_EXPRESSION_DIVIDING","8","1","1","[OAuth20Service createRefreshTokenRequest (String, String)]","6"
"3","scribejava/scribejava-core","01018e7fd07a2b0f4ca74f13faf3c97cc75d545f","fa030bc6f3ecd739b379a650f282820839eb91d7","CASE_TO_IF_ELSE","17","1","1","[OAuth20Service extractAuthorization (String)]","6"
"8","scribejava/scribejava-core","fa030bc6f3ecd739b379a650f282820839eb91d7","7506149ec00e7c77d227cf5f16737fa3f7c89f09","SWITCH_EQUAL_SIDES","14","1","3","[OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service createRefreshTokenRequest (String, String), OAuth20Service extractAuthorization (String)]","18"
"11","scribejava/scribejava-core","7506149ec00e7c77d227cf5f16737fa3f7c89f09","f7af06c539d5d66ba2ec5417f9dd8fe5e9780a1b","WHILE_TO_FOR","2","1","1","[OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization)]","6"
"20","scribejava/scribejava-core","f7af06c539d5d66ba2ec5417f9dd8fe5e9780a1b","e6caf24fb4bee805e195e17d44fabfe29a59cbfd","REVERSE_IF_ELSE","3","1","10","[OAuth20Service checkForErrorRevokeToken (Response), OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service createAccessTokenRequest (AccessTokenRequestParams), OAuth20Service getAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service createAccessTokenPasswordGrantRequest (String, String, String), OAuth20Service getDeviceAuthorizationCodes (String), OAuth20Service createRevokeTokenRequest (String, TokenTypeHint), OAuth20Service createDeviceAuthorizationCodesRequest (String), OAuth20Service createAccessTokenClientCredentialsGrantRequest (String), OAuth20Service createRefreshTokenRequest (String, String)]","60"
"22","scribejava/scribejava-core","e6caf24fb4bee805e195e17d44fabfe29a59cbfd","77eec9480d53ff5373f9c65f2603269c4c881658","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1","[OAuth20Service extractAuthorization (String)]","6"
"25","scribejava/scribejava-core","77eec9480d53ff5373f9c65f2603269c4c881658","370cba98ff758db65ac27b1b8a3b45deef7bc75a","REVERSE_IF_ELSE","3","1","6","[OAuth20Service checkForErrorRevokeToken (Response), OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service getAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service getDeviceAuthorizationCodes (String), OAuth20Service createRevokeTokenRequest (String, TokenTypeHint), OAuth20Service createDeviceAuthorizationCodesRequest (String)]","36"
"26","scribejava/scribejava-core","370cba98ff758db65ac27b1b8a3b45deef7bc75a","ae00bf8e562b7ad081961213c6a555183e2ccc8a","SWITCH_EQUAL_SIDES","14","1","4","[OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service signRequest (OAuth2AccessToken, OAuthRequest), OAuth20Service createRefreshTokenRequest (String, String), OAuth20Service extractAuthorization (String)]","24"
"27","scribejava/scribejava-core","ae00bf8e562b7ad081961213c6a555183e2ccc8a","a0b0ee1c09f430ce4ad72f23c88dcbc7a0b757e7","INFIX_EXPRESSION_DIVIDING","8","1","1","[OAuth20Service createAccessTokenRequest (AccessTokenRequestParams)]","6"
"28","scribejava/scribejava-core","a0b0ee1c09f430ce4ad72f23c88dcbc7a0b757e7","a5e296d62748d1af6207a47cb2ffc8b19a1ccb8b","SWITCH_EQUAL_SIDES","14","1","1","[OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization)]","6"
"30","scribejava/scribejava-core","a5e296d62748d1af6207a47cb2ffc8b19a1ccb8b","11f3dbc98f4c257097aef7ea87063600f9c9adbb","STATEMENTS_ORDER_REARRANGEMENT","10","1","2","[OAuth20Service OAuth20Service (DefaultApi20, String, String, String, String, String, OutputStream, String, HttpClientConfig, HttpClient), OAuth20Service createRefreshTokenRequest (String, String)]","12"
"48","scribejava/scribejava-core","11f3dbc98f4c257097aef7ea87063600f9c9adbb","bfe2a23192e5e9c727583c508b643778a87d08ed","REVERSE_IF_ELSE","3","1","4","[OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service getAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service getDeviceAuthorizationCodes (String), OAuth20Service createDeviceAuthorizationCodesRequest (String)]","24"
"52","scribejava/scribejava-core","bfe2a23192e5e9c727583c508b643778a87d08ed","681b4f3c09677df551e8b86f82a869c2c0c54ee6","REVERSE_IF_ELSE","3","1","4","[OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service getAccessTokenDeviceAuthorizationGrant (DeviceAuthorization), OAuth20Service getDeviceAuthorizationCodes (String), OAuth20Service createDeviceAuthorizationCodesRequest (String)]","24"
"58","scribejava/scribejava-core","681b4f3c09677df551e8b86f82a869c2c0c54ee6","d1d72d826bb07be925d7217d93d46ad59a65f6c9","LOCAL_VAR_RENAMING","0","1","2","[OAuth20Service refreshAccessToken (String, String), OAuth20Service getAccessTokenPasswordGrantAsync (String, String, String)]","12"
"59","scribejava/scribejava-core","d1d72d826bb07be925d7217d93d46ad59a65f6c9","2552eada49919cccb33455e4e27935ae26d3a05f","STATEMENTS_ORDER_REARRANGEMENT","10","1","3","[OAuth20Service OAuth20Service (DefaultApi20, String, String, String, String, String, OutputStream, String, HttpClientConfig, HttpClient), OAuth20Service createRefreshTokenRequest (String, String), OAuth20Service extractAuthorization (String)]","18"
"63","scribejava/scribejava-core","2552eada49919cccb33455e4e27935ae26d3a05f","67d83ef35fbc6f1aa896022b058057ea4c8e1be0","FOR_TO_WHILE","1","1","1","[OAuth20Service pollAccessTokenDeviceAuthorizationGrant (DeviceAuthorization)]","6"
"0","scribejava/scribejava-httpclient-ahc","67d83ef35fbc6f1aa896022b058057ea4c8e1be0","bab67d386a6d566727ac3486325fd80b7cc7aad1","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","14","[AhcHttpClient AhcHttpClient (), AhcHttpClient executeAsync (String, Map<String,String>, Verb, String, File, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), AhcHttpClient AhcHttpClient (AsyncHttpClient), AhcProvider createClient (HttpClientConfig), AhcHttpClient executeAsync (String, Map<String,String>, Verb, String, String, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), AhcHttpClient close (), AhcHttpClient executeAsync (String, Map<String,String>, Verb, String, byte[], OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), AhcHttpClient setBody (BoundRequestBuilder, Object), OAuthAsyncCompletionHandler onThrowable (Throwable), AhcHttpClient executeAsync (String, Map<String,String>, Verb, String, MultipartPayload, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), AhcHttpClient doExecuteAsync (String, Map<String,String>, Verb, String, BodySetter, Object, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), OAuthAsyncCompletionHandler onCompleted (org.asynchttpclient.Response), AhcHttpClient AhcHttpClient (AhcHttpClientConfig), OAuthAsyncCompletionHandler OAuthAsyncCompletionHandler (OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>)]","42"
"3","scribejava/scribejava-httpclient-ahc","bab67d386a6d566727ac3486325fd80b7cc7aad1","f7a581bb4383fb38d68d751d9c200ec118d4be87","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"10","scribejava/scribejava-httpclient-ahc","f7a581bb4383fb38d68d751d9c200ec118d4be87","70280ef31564c0030151a3cc0dbf83fe591a1279","REVERSE_IF_ELSE","3","1","1","[AhcHttpClient doExecuteAsync (String, Map<String,String>, Verb, String, BodySetter, Object, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>)]","3"
"13","scribejava/scribejava-httpclient-ahc","70280ef31564c0030151a3cc0dbf83fe591a1279","bc82d4feee45e125392cc883d1418e2b8b526e53","REVERSE_IF_ELSE","3","1","1","[AhcHttpClient doExecuteAsync (String, Map<String,String>, Verb, String, BodySetter, Object, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>)]","3"
"14","scribejava/scribejava-httpclient-ahc","bc82d4feee45e125392cc883d1418e2b8b526e53","b3d5ccb7e9dca74cfe22cd43514bf064bd6a6429","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"15","scribejava/scribejava-httpclient-ahc","b3d5ccb7e9dca74cfe22cd43514bf064bd6a6429","5e0732c45bf4d9d5debbb29b6c1d8f808bc90d68","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"23","scribejava/scribejava-httpclient-ahc","5e0732c45bf4d9d5debbb29b6c1d8f808bc90d68","38154c472689f2192928dae1b78b4fe0e0d0f877","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"24","scribejava/scribejava-httpclient-ahc","38154c472689f2192928dae1b78b4fe0e0d0f877","a2375aa865ab879d761f5e3ddcc3b29bfa6574ad","LOCAL_VAR_RENAMING","0","1","1","[AhcHttpClient executeAsync (String, Map<String,String>, Verb, String, File, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>)]","3"
"31","scribejava/scribejava-httpclient-ahc","a2375aa865ab879d761f5e3ddcc3b29bfa6574ad","711bebd584b5fdea36a7136b6f114911bd150206","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"36","scribejava/scribejava-httpclient-ahc","711bebd584b5fdea36a7136b6f114911bd150206","3d42e19091b567e96c6b9b950ccfe7a6c1efab91","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"40","scribejava/scribejava-httpclient-ahc","3d42e19091b567e96c6b9b950ccfe7a6c1efab91","d310f7ce05d038679bf2fef4f09349f876de7669","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"41","scribejava/scribejava-httpclient-ahc","d310f7ce05d038679bf2fef4f09349f876de7669","913b97b9b9aea7220cf94751ba75e9551ab06d37","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"46","scribejava/scribejava-httpclient-ahc","913b97b9b9aea7220cf94751ba75e9551ab06d37","39060ac364cc5cfa869e87075d955d4e3669a4f7","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"50","scribejava/scribejava-httpclient-ahc","39060ac364cc5cfa869e87075d955d4e3669a4f7","96e974fa3a6d92b5a181a14dd12a51c2deea8cbd","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"55","scribejava/scribejava-httpclient-ahc","96e974fa3a6d92b5a181a14dd12a51c2deea8cbd","c97cea9d34193e5a68706cc31540153726eaacae","LOCAL_VAR_RENAMING","0","1","2","[AhcHttpClient executeAsync (String, Map<String,String>, Verb, String, String, OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>), AhcHttpClient executeAsync (String, Map<String,String>, Verb, String, byte[], OAuthAsyncRequestCallback<T>, OAuthRequest.ResponseConverter<T>)]","6"
"60","scribejava/scribejava-httpclient-ahc","c97cea9d34193e5a68706cc31540153726eaacae","f40419230a349be5ee3b1174ad8be8e2a37fd3f9","SWITCH_EQUAL_SIDES","14","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
"61","scribejava/scribejava-httpclient-ahc","f40419230a349be5ee3b1174ad8be8e2a37fd3f9","ec5b39293b1c141a28b997b9bcb13de49f275430","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1","[AhcHttpClient AhcHttpClient (AhcHttpClientConfig)]","3"
