id,projectName,startCommit,endCommit,transformType,transformTypeId,transformSum,RelatedMethodsNum,RelatedMethodSet,RelatedCasesNum
32,symja-parser,a6921978174f0056c334dd82441dd646c36cddcd,51b9b1c6c8a135dc99f181087a4bdab8ecf1a750,LOCAL_VAR_RENAMING,0,1,1,[IDoubleValue setValue (double)],7
37,symja-parser,51b9b1c6c8a135dc99f181087a4bdab8ecf1a750,b083c104b88a89d0bae21b5efaa32dfcdba8bec2,LOCAL_VAR_RENAMING,0,1,1,[IDoubleValue setValue (double)],7
0,spring-hateoas,2ba26707fbd2c9e047962d3139a3157e9667bf9c,172ad82aa304f611ae1081cefb2636205ee93ca1,FOR_TO_WHILE,1,1,43,"[DelegatingEntityLinks linkFor (Class<?>, Object), HalFormsProperty withOptions (HalFormsOptions), LinkBuilderFactory linkTo (Class<?>, Object), HalFormsProperty withPrompt (String), HypermediaMappingInformationComparator compare (HypermediaMappingInformation, HypermediaMappingInformation), HateoasConfiguration loadResourceBundleResources (String, boolean), HalFormsProperty isReadOnly (), LinkBuilderFactory linkTo (Class<?>), AnnotationMappingDiscoverer getMappingFrom (Annotation), HalFormsProperty withMinLength (Long), HalFormsProperty withName (String), DelegatingEntityLinks linkToItemResource (Class<?>, Object), HateoasConfiguration hypermediaWebMvcConverters (ObjectProvider<ObjectMapper>, List<HypermediaMappingInformation>, Optional<HypermediaMappingInformationComparator>), HalFormsProperty HalFormsProperty (), LinkParser consumeQuotedString (String, StringBuilder, int[]), HalFormsProperty withMin (Number), HalFormsProperty withRegex (String), MessageSourceResolver resolve (MessageSourceResolvable), HalFormsProperty toString (), HateoasConfiguration lookupMessageSource (), DelegatingEntityLinks DelegatingEntityLinks (PluginRegistry<EntityLinks,Class<?>>), CollectionModel deriveElementType (Collection<?>, ResolvableType), HalFormsProperty withPlaceholder (String), CollectionModel equals (Object), DelegatingEntityLinks getPluginFor (Class<?>), HalFormsProperty withMulti (boolean), HalFormsProperty withReadOnly (boolean), LinkBuilderFactory linkTo (Class<?>, Map<String,?>), MessageSourceResolver MessageSourceResolver (MessageSource), AnnotationMappingDiscoverer getConsumes (Method), AnnotationMappingDiscoverer cleanupPart (String), HalFormsProperty withType (String), HalFormsProperty withMaxLength (Long), HalFormsProperty HalFormsProperty (String, boolean, Object, String, String, boolean, boolean, boolean, String, Number, Number, Long, Long, String, HalFormsOptions), HalFormsProperty hashCode (), HalFormsProperty withTemplated (boolean), HalFormsProperty withRequired (boolean), HalFormsProperty withMax (Number), LinkParser parseLink (String, int[]), HalFormsProperty withValue (Object), DelegatingEntityLinks linkForItemResource (Class<?>, Object), HateoasConfiguration relProviderPluginRegistry (ApplicationContext), HalFormsProperty equals (Object)]",387
1,spring-hateoas,172ad82aa304f611ae1081cefb2636205ee93ca1,ee04ea08095e30818610783936b734501e4b32c8,REVERSE_IF_ELSE,3,1,2,"[WebFluxLink linkToInternal (Object), CurrentRequest of (ServerWebExchange)]",20
7,spring-hateoas,ee04ea08095e30818610783936b734501e4b32c8,939e0c970f83c89f1b8c28c45b4abccee155a49c,CONDITIONAL_EXP_TO_SINGLE_IF,5,1,1,[CurrentRequest of (ServerWebExchange)],10
18,spring-hateoas,939e0c970f83c89f1b8c28c45b4abccee155a49c,e2d7f13184d51e4fdc0fdfd3ddb889b2053ac2d0,SWITCH_EQUAL_SIDES,14,1,1,[CurrentRequest of (ServerWebExchange)],10
26,spring-hateoas,e2d7f13184d51e4fdc0fdfd3ddb889b2053ac2d0,e4f99acbc37f87563130523bf965b39730a8f900,SWITCH_EQUAL_SIDES,14,1,1,[CurrentRequest of (ServerWebExchange)],10
27,spring-hateoas,e4f99acbc37f87563130523bf965b39730a8f900,a94bd1d62c0a3faf1098745cc159c46b7bcad8e8,REVERSE_IF_ELSE,3,1,1,[CurrentRequest of (ServerWebExchange)],10
29,spring-hateoas,a94bd1d62c0a3faf1098745cc159c46b7bcad8e8,5a591b451c6e7392f11a6a4a4443ec07146d785f,REVERSE_IF_ELSE,3,1,1,[CurrentRequest of (ServerWebExchange)],10
31,spring-hateoas,5a591b451c6e7392f11a6a4a4443ec07146d785f,fc025feeb380ab5a9e5e1e8c235c9b2c6b5221a4,SWITCH_EQUAL_SIDES,14,1,1,[CurrentRequest of (ServerWebExchange)],10
39,spring-hateoas,fc025feeb380ab5a9e5e1e8c235c9b2c6b5221a4,c67d33014fdd6534f19fe99fb06e2a2e58cef26e,SWITCH_EQUAL_SIDES,14,1,1,[CurrentRequest of (ServerWebExchange)],10
48,spring-hateoas,c67d33014fdd6534f19fe99fb06e2a2e58cef26e,7436457ae244b96aec7c7a558ae74b8056be6dde,REVERSE_IF_ELSE,3,1,1,[CurrentRequest of (ServerWebExchange)],10
49,spring-hateoas,7436457ae244b96aec7c7a558ae74b8056be6dde,bddff47efb3a27b5f2936df5655cde388c3c9c09,LOCAL_VAR_RENAMING,0,1,2,"[WebFluxLink linkToInternal (Object, Mono<CurrentRequest>), CurrentRequest of (ServerWebExchange)]",20
50,spring-hateoas,bddff47efb3a27b5f2936df5655cde388c3c9c09,c8eabf37e45f781672a465dfe3d300229b307582,LOCAL_VAR_RENAMING,0,1,2,"[WebFluxLinkBuilder linkTo (Object, ServerWebExchange), WebFluxLinkBuilder createNewInstance (UriComponents, List<Affordance>, TemplateVariables)]",20
52,spring-hateoas,c8eabf37e45f781672a465dfe3d300229b307582,3402486ad2095285ff6289728b3b4db277f0636f,LOCAL_VAR_RENAMING,0,1,2,"[WebFluxLink WebFluxLink (Mono<Link>), WebFluxLinkBuilder createNewInstance (UriComponents, List<Affordance>, TemplateVariables)]",20
54,spring-hateoas,3402486ad2095285ff6289728b3b4db277f0636f,3c61351d74e20d2f960ea99fcabdabe8890eed7b,REVERSE_IF_ELSE,3,1,1,[CurrentRequest of (ServerWebExchange)],10
57,spring-hateoas,3c61351d74e20d2f960ea99fcabdabe8890eed7b,2dc935d5320f45498573a097e367bb19c2f81c51,LOCAL_VAR_RENAMING,0,1,2,"[WebFluxBuilder withRel (String), WebFluxLinkBuilder createNewInstance (UriComponents, List<Affordance>, TemplateVariables)]",20
59,spring-hateoas,2dc935d5320f45498573a097e367bb19c2f81c51,66691a15984c7bc13d14baa40adb35b7348f3c13,LOCAL_VAR_RENAMING,0,1,2,"[WebFluxLink andAffordance (Object), WebFluxLink linkToInternal (Object, Mono<CurrentRequest>)]",20
0,spring-data-neo4j/spring-data-neo4j-aspects,04bd484704621520e4d6eb1d72c88579faa5e95a,a20d46585d03299bd1871ac98584471435efe98e,REVERSE_IF_ELSE,3,1,8,"[GraphBacked remove (), RelationshipBacked projectTo (Class<R>), GraphBacked getPersistentState (), RelationshipBacked getRelationshipId (), GraphBacked setPersistentState (STATE), Neo4jAspectConfiguration neo4jRelationshipBacking (), GraphBacked hasPersistentState (), Neo4jAspectConfiguration neo4jNodeBacking ()]",24
1,spring-data-neo4j/spring-data-neo4j-aspects,a20d46585d03299bd1871ac98584471435efe98e,f19f4c4f0bae9a89aad58b43ba69710ae6a083b9,LOCAL_VAR_RENAMING,0,1,1,[GraphBacked setPersistentState (STATE)],3
28,spring-data-neo4j/spring-data-neo4j-aspects,f19f4c4f0bae9a89aad58b43ba69710ae6a083b9,dba2d67bf0273f86cb0ea4050efa19a82e8dd631,LOCAL_VAR_RENAMING,0,1,1,[GraphBacked setPersistentState (STATE)],3
47,spring-data-neo4j/spring-data-neo4j-aspects,dba2d67bf0273f86cb0ea4050efa19a82e8dd631,5fee1dfa67719ec47356ffdbd1c372c0d4386234,LOCAL_VAR_RENAMING,0,1,1,[GraphBacked setPersistentState (STATE)],3
59,spring-data-neo4j/spring-data-neo4j-aspects,5fee1dfa67719ec47356ffdbd1c372c0d4386234,fdff2f4767d848b542e357895cccd9e98a6e99c6,LOCAL_VAR_RENAMING,0,1,1,[GraphBacked setPersistentState (STATE)],3
63,spring-data-neo4j/spring-data-neo4j-aspects,fdff2f4767d848b542e357895cccd9e98a6e99c6,3d5965987a38f151a73556b5732567b5b7d454b2,LOCAL_VAR_RENAMING,0,1,1,[GraphBacked setPersistentState (STATE)],3
0,spring-data-neo4j/spring-data-neo4j-cross-store,3d5965987a38f151a73556b5732567b5b7d454b2,27179ecad9e2b38113d2462f423ced847cdf5803,LOCAL_VAR_RENAMING,0,1,25,"[CrossStoreNodeDelegatingFieldAccessorFactory newPropertyFieldAccessorFactory (), CrossStoreNodeEntityStateFactory getPersistenceUnitUtils (), CrossStoreNodeEntityState getForeignIdIndex (), CrossStoreNodeEntityState persist (), JpaIdFieldListener JpaIdFieldListener (Neo4jPersistentProperty, Neo4jTemplate), CrossStoreNodeEntityStateFactory getEntityState (Object, boolean, Neo4jTemplate), CrossStoreNodeEntityStateFactory isDetached (), CrossStoreNodeEntityState createAndAssignState (), CrossStoreNodeEntityInstantiator entityManager (), Factory create (Neo4jTemplate), CrossStoreNodeEntityState getId (Object), JpaIdFieldListener valueChanged (Object, Object, Object), CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory), CrossStoreNodeDelegatingFieldAccessorFactory CrossStoreNodeDelegatingFieldAccessorFactory (Neo4jTemplate), CrossStoreNodeDelegatingFieldAccessorFactory createAccessorFactories (), CrossStoreNodeEntityStateFactory isPartial (Class<?>), CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy), CrossStoreNodeEntityState persistForeignId (Node, Object), CrossStoreNodeEntityState CrossStoreNodeEntityState (Node, NodeBacked, Class<? extends NodeBacked>, Neo4jTemplate, PersistenceUnitUtil, DelegatingFieldAccessorFactory, Neo4jPersistentEntity), CrossStoreNodeEntityState isWritable (Neo4jPersistentProperty), CrossStoreNodeEntityState createForeignId (Object), CrossStoreNodeEntityStateFactory CrossStoreNodeEntityStateFactory (Neo4jMappingContext, FieldAccessorFactoryFactory, FieldAccessorFactoryFactory, EntityManagerFactory), CrossStoreNodeDelegatingFieldAccessorFactory createListenerFactories (), CrossStoreNodeDelegatingFieldAccessorFactory newConvertingNodePropertyFieldAccessorFactory (), CrossStoreNodeDelegatingFieldAccessorFactory accept (Neo4jPersistentProperty)]",125
3,spring-data-neo4j/spring-data-neo4j-cross-store,27179ecad9e2b38113d2462f423ced847cdf5803,dc56f4cd1adff204af3b7bdcdaec8c081a2773af,REVERSE_IF_ELSE,3,1,1,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy)]",5
13,spring-data-neo4j/spring-data-neo4j-cross-store,dc56f4cd1adff204af3b7bdcdaec8c081a2773af,7869adc18616981d4f4489d3f3f59be30cc68364,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
15,spring-data-neo4j/spring-data-neo4j-cross-store,7869adc18616981d4f4489d3f3f59be30cc68364,f4d4a83ed41c9b02b79cddd20eafc3723e1de92c,LOCAL_VAR_RENAMING,0,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
21,spring-data-neo4j/spring-data-neo4j-cross-store,f4d4a83ed41c9b02b79cddd20eafc3723e1de92c,d94cabaf2f12d7f6c2980da2b6fbba4293847729,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
29,spring-data-neo4j/spring-data-neo4j-cross-store,d94cabaf2f12d7f6c2980da2b6fbba4293847729,bab8984a7f7a8fbb0a0b9fc4636f835200fdcf0f,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
32,spring-data-neo4j/spring-data-neo4j-cross-store,bab8984a7f7a8fbb0a0b9fc4636f835200fdcf0f,2f5666a873730d47794e7158f2c58b04e9f5600e,REVERSE_IF_ELSE,3,1,1,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy)]",5
36,spring-data-neo4j/spring-data-neo4j-cross-store,2f5666a873730d47794e7158f2c58b04e9f5600e,71098aa60dcd42a87fdadb23303192f6b92a630b,LOCAL_VAR_RENAMING,0,1,1,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy)]",5
37,spring-data-neo4j/spring-data-neo4j-cross-store,71098aa60dcd42a87fdadb23303192f6b92a630b,d41b7b208cccfffb99d19c6fbb775aff87a83156,REVERSE_IF_ELSE,3,1,1,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy)]",5
39,spring-data-neo4j/spring-data-neo4j-cross-store,d41b7b208cccfffb99d19c6fbb775aff87a83156,78d9f237c8f60e02e93fa9b069aeacfbd9d51563,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
56,spring-data-neo4j/spring-data-neo4j-cross-store,78d9f237c8f60e02e93fa9b069aeacfbd9d51563,c327b8ee4d53cf3b2e7ed80279872d3142ec0024,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
58,spring-data-neo4j/spring-data-neo4j-cross-store,c327b8ee4d53cf3b2e7ed80279872d3142ec0024,22961d8fec3042f5242b4892951796e84faaf06c,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
64,spring-data-neo4j/spring-data-neo4j-cross-store,22961d8fec3042f5242b4892951796e84faaf06c,3beeb6344ffb80ddb8a3ad3c6ea70b8095dfbaaa,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
68,spring-data-neo4j/spring-data-neo4j-cross-store,3beeb6344ffb80ddb8a3ad3c6ea70b8095dfbaaa,bd7dc96d38bada464d1f1ba274c18f4d49c8299c,LOCAL_VAR_RENAMING,0,1,1,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy)]",5
74,spring-data-neo4j/spring-data-neo4j-cross-store,bd7dc96d38bada464d1f1ba274c18f4d49c8299c,e1d7bb689a955ca40af5ede6d083e86146c01b3b,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",5
77,spring-data-neo4j/spring-data-neo4j-cross-store,e1d7bb689a955ca40af5ede6d083e86146c01b3b,3b82df667add7a65b725c066fdda482316550fd5,LOCAL_VAR_RENAMING,0,1,2,"[CrossStoreNodeEntityInstantiator entityManager (), CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",10
85,spring-data-neo4j/spring-data-neo4j-cross-store,3b82df667add7a65b725c066fdda482316550fd5,e6cbd09f13c8014cddcb917454b2ba6d31e8dfed,LOCAL_VAR_RENAMING,0,1,2,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy), CrossStoreNodeEntityInstantiator CrossStoreNodeEntityInstantiator (NodeEntityInstantiator, EntityManagerFactory)]",10
86,spring-data-neo4j/spring-data-neo4j-cross-store,e6cbd09f13c8014cddcb917454b2ba6d31e8dfed,3bca8b7bc933829532dfbd47a2ce0185367adac6,REVERSE_IF_ELSE,3,1,1,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy)]",5
87,spring-data-neo4j/spring-data-neo4j-cross-store,3bca8b7bc933829532dfbd47a2ce0185367adac6,c313373847d51591b3f2f10fe5b1263e0867233b,LOCAL_VAR_RENAMING,0,1,1,"[CrossStoreNodeEntityInstantiator createEntityFromState (Node, Class<T>, MappingPolicy)]",5
0,spring-data-neo4j/cineasts-aspects,c313373847d51591b3f2f10fe5b1263e0867233b,85410fdcf1324cab9854c7dd41b32bc493482449,LOCAL_VAR_RENAMING,0,1,102,"[Movie Movie (String, String), Movie getRatings (), Movie setRuntime (Integer), Rating setComment (String), Movie getDescription (), MovieDbImportService doImportMovie (String), Rating getStars (), MovieController updateMovie (Model, String, Integer, String), Movie setHomepage (String), MovieDbApiClient getPerson (String), MovieDbApiClient getMovie (String), MovieController singleMovieView (Model, String), Movie getVersion (), Movie getYoutubeId (), Role setName (String), Movie getLastModified (), User addFriend (User), Movie getStars (), User toString (), MovieController findMovies (Model, String), Movie setLastModified (Date), Role getActor (), Movie setImageUrl (String), ImportController ImportController (MovieDbImportService), User User (String, String, String, Roles), Role Role (Movie, Person, String), Movie setTrailer (String), Role Role (), MovieController populateDatabase (Model), Movie getTagline (), ImportController extractRanges (String), MovieDbImportService doImportPerson (String), User getPassword (), Movie setTagline (String), Movie getTrailer (), Movie getHomepage (), MovieDbApiClient loadJsonData (String, String), Movie getStudio (), MovieController singleActorView (Model, String), Rating rate (int, String), Movie getImageUrl (), Role toString (), Movie setTitle (String), MovieDbApiClient buildMovieUrl (String), MovieDbImportService loadPersonData (String), User updatePassword (String, String, String), Movie setGenre (String), ImportController importMovie (String, Model), User rate (Movie, int, String), MovieController getMovie (String), MovieRecommendations evaluate (Path), Movie setVersion (Integer), MovieDbImportService importMovies (Map<Integer,Integer>), Rating getComment (), MovieDbApiClient MovieDbApiClient (String), MovieDbApiClient buildPersonUrl (String), MovieController index (Model), Movie getReleaseDate (), Rating setStars (int), Movie getLanguage (), Movie getTitle (), MovieRecommendations updateRating (Relationship, int), User getName (), Movie getImdbId (), Role getName (), MovieDbImportService relatePersonsToMovie (Movie, Map), Movie setImdbId (String), User isFriend (User), User getLogin (), MovieDbImportService loadMovieData (String), Movie getYear (), Movie getDirector (), MovieRecommendations obtainRating (long), User getRole (), Movie getRuntime (), Movie Movie (), User getAuthority (), User getFriends (), Rating getMovie (), User getRatings (), MovieDbImportService importMovie (String), Movie setStudio (String), MovieRecommendations averageRecommendations (User, TraversalDescription), MovieController addUser (Model), Movie getId (), Movie getActors (), MovieController clean (Model), Movie setReleaseDate (Date), User setName (String), MovieDbImportService importPerson (String), MovieRecommendations MovieRecommendations (MovieRepository, int), Movie toString (), User User (), User encode (String), Movie setDescription (String), MovieRecommendations getRecommendationsFor (User), Movie getGenre (), Role getMovie (), MovieDbImportService importMovieFailsafe (Integer), Movie getRoles (), Rating getUser (), Movie setLanguage (String)]",918
2,spring-data-neo4j/cineasts-aspects,85410fdcf1324cab9854c7dd41b32bc493482449,b3189ac1df63bfad338f86ebe49340442191dd01,REVERSE_IF_ELSE,3,1,3,"[Movie getYoutubeId (), Movie getYear (), Movie getStars ()]",27
6,spring-data-neo4j/cineasts-aspects,b3189ac1df63bfad338f86ebe49340442191dd01,1e5bfdc6571631be14d51794ad5e6adc4611e73d,PP_TO_ADD_ASSIGNMENT,6,1,1,[Movie getStars ()],9
9,spring-data-neo4j/cineasts-aspects,1e5bfdc6571631be14d51794ad5e6adc4611e73d,4b86ca05ce6935f813eaf40736232790b2633ec7,STATEMENTS_ORDER_REARRANGEMENT,10,1,3,"[Movie Movie (String, String), Movie getYear (), Movie getStars ()]",27
14,spring-data-neo4j/cineasts-aspects,4b86ca05ce6935f813eaf40736232790b2633ec7,a60c06515225f0a61370818579dca35f3e1d5625,LOCAL_VAR_RENAMING,0,1,4,"[Movie setGenre (String), Movie Movie (String, String), Movie toString (), Movie getId ()]",36
19,spring-data-neo4j/cineasts-aspects,a60c06515225f0a61370818579dca35f3e1d5625,46dc094de84d13793151f31da1ee913be5434547,REVERSE_IF_ELSE,3,1,1,[Movie getYoutubeId ()],9
20,spring-data-neo4j/cineasts-aspects,46dc094de84d13793151f31da1ee913be5434547,6db271969ea69964a6acf97973d00ed5436d4d0d,VAR_DECLARATION_DIVIDING,13,1,1,[Movie getStars ()],9
29,spring-data-neo4j/cineasts-aspects,6db271969ea69964a6acf97973d00ed5436d4d0d,b666902ff5711293e0e61b6cec2846915c942084,STATEMENTS_ORDER_REARRANGEMENT,10,1,1,"[Movie Movie (String, String)]",9
31,spring-data-neo4j/cineasts-aspects,b666902ff5711293e0e61b6cec2846915c942084,efa4d8b841636ee9f214f5f935936353b3cb2e67,SWITCH_EQUAL_SIDES,14,1,3,"[Movie getYoutubeId (), Movie getRatings (), Movie getStars ()]",27
33,spring-data-neo4j/cineasts-aspects,efa4d8b841636ee9f214f5f935936353b3cb2e67,5a719eb077256eedd18726b49323aef5497602a8,REVERSE_IF_ELSE,3,1,1,[Movie getYoutubeId ()],9
34,spring-data-neo4j/cineasts-aspects,5a719eb077256eedd18726b49323aef5497602a8,437e338f170d500ffdcd69c7c889acaefd52593a,VAR_DECLARATION_MERGING,12,1,1,[Movie getStars ()],9
36,spring-data-neo4j/cineasts-aspects,437e338f170d500ffdcd69c7c889acaefd52593a,905a9e375dd1eef4d7d6b8078eaf8e984f505a51,LOCAL_VAR_RENAMING,0,1,3,"[Movie getHomepage (), Movie getYoutubeId (), Movie setHomepage (String)]",27
39,spring-data-neo4j/cineasts-aspects,905a9e375dd1eef4d7d6b8078eaf8e984f505a51,5b93aac729303d23f52b7b15b9f09375520f398e,LOCAL_VAR_RENAMING,0,1,3,"[Movie getActors (), Movie setImageUrl (String), Movie getImageUrl ()]",27
40,spring-data-neo4j/cineasts-aspects,5b93aac729303d23f52b7b15b9f09375520f398e,04a3d7f67f08fe6d06c812715370fa58e70acf7f,VAR_DECLARATION_DIVIDING,13,1,1,[Movie getStars ()],9
42,spring-data-neo4j/cineasts-aspects,04a3d7f67f08fe6d06c812715370fa58e70acf7f,8815008a6e335a4f2e2731fce90823a4494102f4,SWITCH_EQUAL_SIDES,14,1,3,"[Movie getYoutubeId (), Movie getRatings (), Movie getStars ()]",27
43,spring-data-neo4j/cineasts-aspects,8815008a6e335a4f2e2731fce90823a4494102f4,8c80d01fa8622d422d2258551905a732879c0693,VAR_DECLARATION_MERGING,12,1,1,[Movie getStars ()],9
46,spring-data-neo4j/cineasts-aspects,8c80d01fa8622d422d2258551905a732879c0693,b98f24e843c7c16cdf8b221b420b54e709777341,LOCAL_VAR_RENAMING,0,1,6,"[Movie setGenre (String), Movie getYear (), Movie setReleaseDate (Date), Movie getReleaseDate (), Movie toString (), Movie getGenre ()]",54
48,spring-data-neo4j/cineasts-aspects,b98f24e843c7c16cdf8b221b420b54e709777341,4561c8dbadbc7f214b83e6d46c085b00e8d1ce8c,STATEMENTS_ORDER_REARRANGEMENT,10,1,3,"[Movie Movie (String, String), Movie getYear (), Movie getStars ()]",27
52,spring-data-neo4j/cineasts-aspects,4561c8dbadbc7f214b83e6d46c085b00e8d1ce8c,1e205564718484850ff120615467d50f430fb8f4,STATEMENTS_ORDER_REARRANGEMENT,10,1,3,"[Movie Movie (String, String), Movie getYear (), Movie getStars ()]",27
54,spring-data-neo4j/cineasts-aspects,1e205564718484850ff120615467d50f430fb8f4,2e1454b8e7c7921db2b2193de9892103e6fe9b2a,STATEMENTS_ORDER_REARRANGEMENT,10,1,2,"[Movie Movie (String, String), Movie getYear ()]",18
55,spring-data-neo4j/cineasts-aspects,2e1454b8e7c7921db2b2193de9892103e6fe9b2a,b92c44650300e25dc6754f89180549bc006f4cdb,ADD_ASSIGNMENT_TO_EQUAL_ASSIGNMENT,7,1,1,[Movie getStars ()],9
59,spring-data-neo4j/cineasts-aspects,b92c44650300e25dc6754f89180549bc006f4cdb,9b4578fae1eda93041e16f61b4898ce9270ba2c5,REVERSE_IF_ELSE,3,1,3,"[Movie getYoutubeId (), Movie getYear (), Movie getStars ()]",27
